PostID,PostType,Likes,Shares,Comments,ViewCount,EngagementRate,EngagementSummary
id_1,Static Image,373,39,29,4798,0.092,"Static Image post with 373 likes, 39 shares, 29 comments, and an engagement rate of 0.092"
id_2,Reel,346,50,4,3309,0.121,"Reel post with 346 likes, 50 shares, 4 comments, and an engagement rate of 0.121"
id_3,Reel,322,82,38,4808,0.092,"Reel post with 322 likes, 82 shares, 38 comments, and an engagement rate of 0.092"
id_4,Reel,201,93,20,3822,0.082,"Reel post with 201 likes, 93 shares, 20 comments, and an engagement rate of 0.082"
id_5,Carousel,453,20,16,785,0.623,"Carousel post with 453 likes, 20 shares, 16 comments, and an engagement rate of 0.623"
id_6,Carousel,262,21,46,3396,0.097,"Carousel post with 262 likes, 21 shares, 46 comments, and an engagement rate of 0.097"
id_7,Static Image,125,26,31,3095,0.059,"Static Image post with 125 likes, 26 shares, 31 comments, and an engagement rate of 0.059"
id_8,Carousel,300,37,8,4303,0.080,"Carousel post with 300 likes, 37 shares, 8 comments, and an engagement rate of 0.080"
id_9,Carousel,167,43,40,2778,0.090,"Carousel post with 167 likes, 43 shares, 40 comments, and an engagement rate of 0.090"
id_10,Reel,291,49,20,1730,0.208,"Reel post with 291 likes, 49 shares, 20 comments, and an engagement rate of 0.208"
id_11,Static Image,332,31,28,569,0.687,"Static Image post with 332 likes, 31 shares, 28 comments, and an engagement rate of 0.687"
id_12,Reel,90,87,40,4576,0.047,"Reel post with 90 likes, 87 shares, 40 comments, and an engagement rate of 0.047"
id_13,Static Image,360,47,4,4356,0.094,"Static Image post with 360 likes, 47 shares, 4 comments, and an engagement rate of 0.094"
id_14,Carousel,222,96,27,1693,0.204,"Carousel post with 222 likes, 96 shares, 27 comments, and an engagement rate of 0.204"
id_15,Reel,289,16,7,4999,0.062,"Reel post with 289 likes, 16 shares, 7 comments, and an engagement rate of 0.062"
id_16,Reel,55,31,50,1347,0.101,"Reel post with 55 likes, 31 shares, 50 comments, and an engagement rate of 0.101"
id_17,Carousel,447,33,23,1283,0.392,"Carousel post with 447 likes, 33 shares, 23 comments, and an engagement rate of 0.392"
id_18,Reel,396,97,3,2587,0.192,"Reel post with 396 likes, 97 shares, 3 comments, and an engagement rate of 0.192"
id_19,Reel,417,80,33,2636,0.201,"Reel post with 417 likes, 80 shares, 33 comments, and an engagement rate of 0.201"
id_20,Reel,466,71,30,4020,0.141,"Reel post with 466 likes, 71 shares, 30 comments, and an engagement rate of 0.141"
id_21,Reel,386,8,44,790,0.554,"Reel post with 386 likes, 8 shares, 44 comments, and an engagement rate of 0.554"
id_22,Carousel,71,32,50,4026,0.038,"Carousel post with 71 likes, 32 shares, 50 comments, and an engagement rate of 0.038"
